Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
601.00	0.324554	0.298172	0.048019	0.347214	0.096985
602.00	0.323898	0.297470	0.048050	0.346542	0.096985
603.00	0.322952	0.296555	0.047897	0.345612	0.096848
604.00	0.322098	0.295670	0.047989	0.344711	0.096863
605.00	0.321106	0.294662	0.048050	0.343719	0.096909
606.00	0.319931	0.293488	0.048065	0.342529	0.096878
607.00	0.318558	0.292160	0.048065	0.341141	0.096863
608.00	0.316910	0.290527	0.047958	0.339508	0.096741
609.00	0.315231	0.288895	0.047974	0.337875	0.096710
610.00	0.313324	0.287094	0.047958	0.336044	0.096725
611.00	0.311234	0.285110	0.047928	0.334030	0.096664
612.00	0.309143	0.283096	0.047882	0.331970	0.096649
613.00	0.306717	0.280853	0.047897	0.329681	0.096664
614.00	0.303925	0.278214	0.047867	0.327072	0.096542
615.00	0.301178	0.275696	0.047943	0.324478	0.096542
616.00	0.298248	0.272949	0.047913	0.321701	0.096527
617.00	0.295059	0.269958	0.047867	0.318695	0.096451
618.00	0.291733	0.266815	0.047806	0.315536	0.096375
619.00	0.288284	0.263580	0.047729	0.312256	0.096298
620.00	0.284607	0.260132	0.047775	0.308838	0.096283
621.00	0.280701	0.256638	0.047714	0.305191	0.096207
622.00	0.276764	0.252945	0.047729	0.301498	0.096176
623.00	0.272430	0.248917	0.047684	0.297455	0.096100
624.00	0.268005	0.244827	0.047653	0.293304	0.096054
625.00	0.263580	0.240707	0.047607	0.289200	0.095993
626.00	0.259003	0.236465	0.047546	0.285004	0.095932
627.00	0.254227	0.232117	0.047501	0.280609	0.095779
628.00	0.249680	0.227966	0.047562	0.276413	0.095749
629.00	0.244812	0.223572	0.047516	0.271896	0.095688
630.00	0.239578	0.218857	0.047501	0.267120	0.095657
631.00	0.234482	0.214233	0.047440	0.262360	0.095566
632.00	0.229462	0.209641	0.047424	0.257721	0.095551
633.00	0.224167	0.204773	0.047440	0.252853	0.095413
634.00	0.218842	0.199722	0.047333	0.247849	0.095291
635.00	0.213547	0.194855	0.047272	0.242996	0.095169
636.00	0.208145	0.189972	0.047272	0.237991	0.095139
637.00	0.202377	0.184875	0.047150	0.232697	0.095001
638.00	0.196915	0.179947	0.047104	0.227692	0.094971
639.00	0.191284	0.174835	0.047028	0.222488	0.094772
640.00	0.185684	0.169632	0.046982	0.217270	0.094635
641.00	0.180359	0.164688	0.046967	0.212311	0.094589
642.00	0.175049	0.159836	0.047028	0.207474	0.094559
643.00	0.169418	0.154678	0.046875	0.202301	0.094345
644.00	0.163986	0.149780	0.046753	0.197372	0.094208
645.00	0.158630	0.145035	0.046753	0.192490	0.094147
646.00	0.153259	0.140259	0.046707	0.187622	0.094040
647.00	0.148132	0.135513	0.046707	0.182846	0.093933
648.00	0.142975	0.130890	0.046600	0.178146	0.093750
649.00	0.137878	0.126251	0.046570	0.173462	0.093674
650.00	0.133011	0.121841	0.046585	0.169037	0.093567
651.00	0.128342	0.117508	0.046616	0.164749	0.093567
652.00	0.123611	0.113266	0.046539	0.160385	0.093414
653.00	0.118958	0.109116	0.046494	0.156113	0.093262
654.00	0.114517	0.105118	0.046524	0.152084	0.093231
655.00	0.110092	0.101089	0.046616	0.148087	0.093170
656.00	0.105637	0.097076	0.046585	0.144089	0.093079
657.00	0.101471	0.093201	0.046570	0.140228	0.092972
658.00	0.097351	0.089432	0.046585	0.136414	0.092911
659.00	0.093384	0.085831	0.046570	0.132858	0.092819
660.00	0.089554	0.082367	0.046646	0.129333	0.092697
661.00	0.085587	0.078873	0.046600	0.125763	0.092621
662.00	0.081818	0.075424	0.046539	0.122299	0.092484
663.00	0.078156	0.072113	0.046463	0.118988	0.092331
664.00	0.074692	0.068985	0.046402	0.115723	0.092209
665.00	0.071426	0.065994	0.046432	0.112747	0.092133
666.00	0.068253	0.062988	0.046310	0.109772	0.091980
667.00	0.065186	0.060196	0.046341	0.106918	0.091873
668.00	0.062103	0.057434	0.046295	0.104111	0.091797
669.00	0.059235	0.054840	0.046219	0.101471	0.091614
